"zone","encounter[0]","encounter[1]","encounter[2]","encounter[3]","encounter[4]"
1,"Slime","Red Slime","Slime","Red Slime","Slime"
2,"Red Slime","Slime","Red Slime","Drakee","Red Slime"
3,"Slime","Ghost","Drakee","Ghost","Red Slime"
4,"Red Slime","Red Slime","Drakee","Ghost","Magician"
5,"Ghost","Magician","Magidrakee","Magidrakee","Scorpion"
6,"Ghost","Magician","Magidrakee","Scorpion","Skeleton"
7,"Magidrakee","Scorpion","Skeleton","Warlock","Wolf"
8,"Skeleton","Warlock","Metal Scorpion","Wolf","Wolf"
9,"Metal Scorpion","Wraith","Wolflord","Wolflord","Goldman"
10,"Wraith","Wyvern","Wolflord","Wyvern","Goldman"
11,"Wyvern","Rogue Scorpion","Wraith Knight","Knight","Demon Knight"
12,"Wraith Knight","Knight","Magiwyvern","Demon Knight","Metal Slime"
13,"Knight","Magiwyvern","Demon Knight","Werewolf","Starwyvern"
14,"Werewolf","Green Dragon","Starwyvern","Starwyvern","Wizard"
"D1","Slime","Red Slime","Drakee","Red Slime","Ghost"
"D2","Drakee","Ghost","Magician","Ghost","Magician"
"D3","Ghost","Magician","Scorpion","Scorpion","Druin"
"D4","Poltergeist","Droll","Drakeema","Skeleton","Warlock"
"D5","Skeleton","Warlock","Metal Scorpion","Warlock","Wolf"
"D6","Specter","Wolflord","Druinlord","Drollmagi","Wraith Knight"
"D7","Werewolf","Green Dragon","Starwyvern","Green Dragon","Wizard"
"D8","Werewolf","Green Dragon","Staarwyvern","Wizard","Axe Knight"
"D9","Wizard","Axe Knight","Blue Dragon","Axe Knight","Stoneman"
"D10","Wizard","Stoneman","Armored Knight","Stoneman","Red Dragon"
